ISIN,Quantity,Market Value,% to net asset
INE040A01026,"43,11,034",91467.21,9.11%
INE002A01018,"51,22,882",57440.31,5.72%
INE090A01021,"1,36,19,349",49050.09,4.89%
INE238A01034,"75,75,272",46959.11,4.68%
INE018A01030,"25,61,756",36826.52,3.67%
INE467B01029,"18,76,792",35528.61,3.54%
INE062A01020,"1,19,67,764",35412.61,3.53%
INE154A01025,"1,10,77,874",31200.83,3.11%
INE237A01028,"23,85,150",29969.41,2.99%
INE009A01021,"44,65,015",29422.22,2.93%
INE081A01012,"54,12,279",28200.68,2.81%
INE585B01010,"3,19,960",23886.61,2.38%
INE001A01036,"11,39,179",22423.03,2.23%
INE038A01020,"89,64,245",20277.12,2.02%
INE075A01022,"57,80,395",19124.44,1.91%
INE095A01012,"11,83,485",18927.48,1.89%
INE094A01015,"72,43,477",18344.11,1.83%
INE044A01036,"42,54,246",18314.53,1.82%
INE016A01026,"42,28,460",18209.86,1.81%
INE361B01024,"12,07,575",17904.11,1.78%
INE101A01026,"21,63,345",17390.05,1.73%
INE280A01028,"17,82,430",16594.42,1.65%
INE176B01034,"23,29,460",16108.22,1.61%
INE795G01014,"41,48,643",16061.47,1.60%
INE047A01021,"19,36,595",15988.53,1.59%
INE059A01026,"28,27,550",14689.12,1.46%
INE522F01014,"60,20,315",14493.91,1.44%
INE192A01025,"56,87,141",12477.59,1.24%
INE663F01024,"8,02,023",11554.34,1.15%
INE347G01014,"50,01,911",11211.78,1.12%
INE256A01028,"22,99,196",10954.52,1.09%
INE226A01021,"19,47,797",10781.06,1.07%
INE410B01029,"6,02,413",9960.3,0.99%
INE647O01011,"48,75,558",9873,0.98%
INE263A01024,"1,11,43,524",9800.73,0.98%
INE092A01019,"13,71,861",9694.94,0.97%
INE988K01017,"76,62,142",9589.17,0.96%
INE259A01022,"6,88,350",9248.33,0.92%
INE301A01014,"10,52,445",8890.53,0.89%
INE406A01037,"10,80,941",7922.76,0.79%
INE482A01020,"5,86,364",7660.26,0.76%
INE752E01010,"36,29,668",7210.34,0.72%
INE180K01011,"6,55,443",6637.67,0.66%
INE155A01022,"37,16,691",6418.73,0.64%
INE242A01010,"43,53,007",5965.8,0.59%
INE302A01020,"21,45,171",5747.99,0.57%
INE397D01024,"16,99,568",5311.15,0.53%
INE127D01025,"3,25,159",4893.48,0.49%
INE685A01028,"2,70,696",4795.11,0.48%
INE030A01027,"2,47,585",4505.18,0.45%
INE002S01010,"4,82,475",4363.5,0.43%
INE089A01023,"1,16,112",3038.07,0.30%
INE208A01029,"26,69,275",2736.01,0.27%
INE129A01019,"5,41,020",1949.3,0.19%
INE171A01029,"14,38,317",1341.23,0.13%
INE180A01020,"2,94,136",1311.85,0.13%
INE742F01042,"2,33,699",906.05,0.09%
INE765G01017,"66,615",575.85,0.06%
INE528G01027,"3,00,342",546.02,0.05%
INE021A01026,"27,406",376.3,0.04%